one gym,^Field has,it's got
this intersection,left at,we're gonna
this intersection,at oh,%spk okay
this intersection,again at,we'll turn
hotel lobby the,you at,at seven
the ^McDonald's,back of,so we
the ^McDonald's,towards %hes,so to
^Crown ^Start-Up ^Funds,get to,is on
^Crown ^Start-Up ^Funds,route to,%unint %spk
^Moffett ^Field,around yes,has one
^Moffett ^Field,road of,and we'll
intersection this,%int at,we take
stop sign the,up at,we will
stop sign the,here at,we'll make
it's,around here,quite empty
it's,one gym,got a
it's,wow and,%hes only
it's,looks like,not connected
it's,this way,ohh a
it's,%spk okay,a twenty
it's,five mile,a twenty
there,to get,no can
there,%int get,to the
there,or leave,and turn
there,office over,on the
there,see over,is the
there,everything's over,not opened
there,to get,I'm not
there,around to,%unint want
there,will be,shortly okay
there,actually over,to our
there,you back,please okay
there,can get,in time
there,get back,yes don't
there,cop is,%spk exactly
hotel the,meeting at,at seven
hotel the,you at,lobby at
^Nano technologies,drive to,now please
the hotel,back to,okay is
the hotel,back to,yes about
the hotel,back to,okay do
the hotel,back to,hotel hope
the hotel,back to,dinner okay
the hotel,back to,no I
a pool,it's got,a gym
a pool,and there's,and gym
that,and down,quite a
that,know where,is okay
that,front of,this one
gym,pool and,across the
gym,done with,I need
hotel,back to,I think
the ^McDonald's building,side of,ohh it
here's,%int okay,^Phillip's building
The ^Barcelona ^Cafe,and now,will be
the ^Moffett ^Field,see @NASA,is split
this,okay and,is the
this,again and,is a
this,can see,is sort
this,they are,yes so
this,that car,is still
this,twenty five,mile is
the gym,the gym,okay is
the gym,intersection and,is coming
the gym,we've got,on the
the gym,okay so,</noise> is
the army barrack,this at,okay I
the ^Barcelona ^Cafe,there is,%spk which
the ^Barcelona ^Cafe,this is,nice enjoy
^Barcelona ^Cafe the,okay so,is this
this road,straight down,and now
this road,turn onto,just be
this road,end of,and we
the big hangar,towards %unint,%int okay
this corner,right at,and then
this corner,then at,we'll turn
the army barracks,at %hes,at the
the army barracks,get to,%int I've
the army barracks,up on,here on
the army barracks,colleague at,where's the
way this,%unint %hes,go out
the _T junction,and at,make a
which,^Cafe %spk,is %hes
this building,^Cafe is,up on
this building,is in,right in
you,road </noise>,can be
@NASA secured area the,part and,that we
the road,side of,yep they've
the road,gym across,awesome I
the road,out onto,and we
the road,back onto,so here
the road,left onto,again %int
the road,end of,and continue
the road,U-turn at,okay we'll
that stop sign,ahead to,okay send
car park entrance the,at the,here we
building this,cut behind,okay we'll
next intersection,at the,%int and
drive-through,the %hes,drive-through yes
^Start-up ^Funds ^Crown+,park here,is in
the %hes drive-through,get to,yes but
car park the,we exit,okay keep
car park the,pull into,just behind
car park the,pull into,here %uh-huh
the intersection,ahead through,and you
main road that,here onto,nice airplane
stand gas,</noise> we,right is
way the,again okay,we came
