the drive-through,go through,left ohh
here,okay right,okay okay
here,a left,%uh-huh okay
here,this right,_T junction
here,okay right,<noise> ohh
here,just stop,stop here
here,here stop,yeah okay
here,going straight,keep going
here,I'm back,okay and
here,still around,%unint I
here,park right,so right
here,so right,yeah %unint
here,speed limit,is still
here,shelters around,somewhere I
here,okay left,and we
here,back over,wow yeah
here,okay right,so we
here,just got,and I
here,so we're,%uh-huh %int
here,park over,%int okay
the gas station,%int okay,is on
the gas station,let's leave,I'll give
the gas station,this point,too it
the parking lot,let's leave,okay and
the parking lot,we leave,got it
the parking lot,left into,okay into
the parking lot,let's leave,okay and
the parking lot,let's leave,%int I'll
the parking lot,left into,okay <noise>
the parking lot,out of,okay <noise>
the parking lot,let's leave,okay %int
the parking lot,left into,%int the
the parking lot,let's leave,<noise> okay
gym the,get to,ohh okay
gym the,route to,yes absolutely
the city,%spk for,to explore
the city,to explore,okay so
stop sign this,left at,okay %int
stop sign this,<noise> at,okay </noise>
stop sign this,right at,pretty much
the bowling alleys,here and,on the
this way,around make,make a
this way,go out,</noise> <noise>
^McDonald's,office gym,okay got
^McDonald's,office gym,okay %unint
^McDonald's,then to,got that
^McDonald's,you to,please %spk
^McDonald's,to yes,absolutely so
^McDonald's,to %int,okay did
^McDonald's,%spk and,will be
the intersection,so at,%int we
the intersection,left at,okay so
sign this stop,right at,this stop
sign this stop,right at,a right
sign this stop,straight after,alright okay
expressway the,by taking,so we're
this,ohh wow,is kinda
this,thank you,a big
the gym,go to,%spk okay
the gym,directions to,yes please
the gym,directions to,<noise> where
the gym,go to,okay so
the gym,directions to,%spk %spk
the gym,ahead okay,is on
the gas,this down,make a
office the post,directions to,yes please
office the post,stop sign,is on
the building,%spk yeah,okay so
post office,so there's,gym ^McDonald's
post office,got it,gym ^McDonald's
this intersection,right at,okay %int
this intersection,right at,make a
this intersection,right at,%int make
this intersection,at ohh,a left
this intersection,left at,<noise> after
this intersection,left at,a left
this park,%spk in,and I
pool the swimming,okay after,so we
road the,end of,and make
road the,so said,alright there's
road the,to follow,and ^Crown
the first building on the right,lot %int,is ^Nanotech
_T junction this,left at,yes okay
stop sign first,a right,make a
the bowling alley,let's try,okay so
the bowling alley,directions to,ohh it's
the bowling alley,<noise> and,will be
the country,came to,in ninety
the hotel parking lot,get into,okay %spk
^Sam's house,go to,or would
